204.84.9.159	88:1f:a1:1f:b7:38	Apple, Inc.
204.84.8.194	20:55:31:3a:29:cb	Samsung Electronics Co.,Ltd
204.84.9.123	1c:9e:46:5c:9c:91	(Unknown)
204.84.8.112	70:e7:2c:52:f6:8d	Apple, Inc.
204.84.9.131	b0:34:95:ee:75:00	Apple, Inc.
204.84.9.182	08:11:96:8d:3a:18	Intel Corporate
204.84.9.186	34:e6:ad:3d:d5:38	Intel Corporate
204.84.9.155	d0:e1:40:8f:f3:b6	Apple, Inc.
204.84.9.215	fc:f8:ae:55:be:28	Intel Corporate
204.84.8.129	98:01:a7:27:99:7f	(Unknown)
204.84.9.148	d0:25:98:e2:17:72	Apple, Inc.
204.84.9.220	28:b2:bd:7e:c7:46	Intel Corporate
204.84.9.230	ac:89:95:90:37:4b	AzureWave Technology Inc.
204.84.9.232	2c:33:7a:36:73:56	Hon Hai Precision Ind. Co.,Ltd.
204.84.8.180	70:48:0f:95:68:69	Apple, Inc.
204.84.9.106	3c:bb:fd:48:22:a1	Samsung Electronics Co.,Ltd
204.84.9.231	00:1f:5b:c8:f1:36	Apple, Inc.
204.84.9.195	90:60:f1:48:7a:8f	Apple, Inc.
204.84.9.239	00:1d:4f:ff:86:8a	Apple, Inc.
204.84.9.242	8c:70:5a:cb:5a:24	Intel Corporate
204.84.8.67	cc:08:8d:18:16:be	(Unknown)
204.84.9.250	98:01:a7:a6:c4:17	(Unknown)
204.84.9.249	28:b2:bd:c4:9e:e7	Intel Corporate
204.84.9.222	ac:22:0b:60:5a:d8	ASUSTek COMPUTER INC.
204.84.10.7	74:df:bf:30:77:51	(Unknown)
204.84.9.233	6c:40:08:9c:8e:6e	Apple, Inc.
204.84.9.225	f4:5c:89:a0:c8:dd	(Unknown)
204.84.9.252	c8:85:50:f3:a8:83	Apple, Inc.
204.84.10.20	48:d7:05:ce:f1:9b	Apple, Inc.
204.84.10.23	f4:5c:89:c6:9d:c7	(Unknown)
204.84.9.229	6c:8d:c1:ac:e6:63	Apple, Inc.
204.84.10.14	c4:8e:8f:fb:71:97	Hon Hai Precision Ind. Co.,Ltd.
204.84.10.33	00:1f:e2:98:4b:68	Hon Hai Precision Ind. Co.,Ltd.
