10.38.32.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.40.247	a0:3b:e3:93:86:8a	(Unknown)
10.38.40.199	00:56:cd:1b:62:6d	(Unknown)
10.38.40.144	28:a0:2b:b5:50:c3	(Unknown)
10.38.39.249	5c:ad:cf:22:ce:66	(Unknown)
10.38.40.173	fc:c2:de:ed:6f:09	(Unknown)
10.38.41.90	cc:20:e8:1f:82:12	(Unknown)
10.38.41.59	34:23:ba:b5:f7:08	Samsung Electro Mechanics co.,LTD. (DUP: 2)
10.38.40.173	fc:c2:de:ed:6f:09	(Unknown) (DUP: 2)
10.38.41.83	c0:cc:f8:2e:c6:51	(Unknown)
10.38.40.155	84:a1:34:96:c2:86	(Unknown)
10.38.41.76	6c:8d:c1:b4:29:a2	(Unknown)
10.38.39.218	78:fd:94:b2:08:1c	(Unknown)
10.38.40.134	70:81:eb:37:be:5c	(Unknown)
10.38.41.81	10:41:7f:bc:53:ae	(Unknown)
10.38.40.69	2c:33:61:a0:8e:2f	(Unknown)
10.38.40.9	64:bc:0c:56:59:94	(Unknown)
10.38.38.46	98:5a:eb:0d:9e:5b	(Unknown)
10.38.40.38	f4:09:d8:38:29:84	(Unknown)
10.38.40.253	60:f8:1d:71:5a:ea	(Unknown)
10.38.41.91	70:3e:ac:5c:96:61	(Unknown)
10.38.41.109	5c:51:88:63:d6:03	(Unknown)
10.38.40.243	cc:08:8d:68:db:e5	(Unknown)
10.38.41.99	6c:72:e7:ad:de:9b	(Unknown)
10.38.41.95	c0:ee:fb:28:f3:59	(Unknown)
10.38.40.231	20:3c:ae:9c:a4:55	(Unknown)
10.38.41.68	b8:ee:65:ce:b5:a0	(Unknown)
10.38.41.123	80:19:34:b4:30:a2	(Unknown)
10.38.41.63	a4:08:ea:13:6c:5a	(Unknown)
10.38.41.87	a4:5e:60:48:e2:23	(Unknown)
10.38.41.97	24:a0:74:16:4e:4f	(Unknown)
10.38.40.115	68:d9:3c:3b:de:b7	(Unknown)
10.38.40.90	00:cd:fe:06:60:34	(Unknown)
10.38.41.110	28:a0:2b:e0:a4:a6	(Unknown)
10.38.41.82	88:79:7e:55:00:4f	(Unknown)
10.38.41.129	b8:81:98:82:98:08	(Unknown)
10.38.41.74	68:17:29:58:54:b7	Intel Corporate
10.38.40.228	50:55:27:a9:5d:db	(Unknown)
10.38.41.181	de:4e:39:73:c7:d8	(Unknown)
10.38.41.178	68:14:01:bd:90:29	(Unknown)
10.38.40.228	50:55:27:a9:5d:db	(Unknown) (DUP: 2)
10.38.41.104	dc:0b:34:85:c6:45	(Unknown)
10.38.41.166	cc:08:8d:9f:08:db	(Unknown)
10.38.41.104	dc:0b:34:85:c6:45	(Unknown) (DUP: 2)
10.38.41.147	48:5a:3f:58:df:67	WISOL
10.38.41.179	50:68:0a:ec:9d:84	(Unknown)
10.38.41.126	d0:25:98:5f:f6:cd	(Unknown)
10.38.41.79	ac:5f:3e:2d:83:3f	(Unknown)
10.38.41.215	64:bc:0c:65:93:45	(Unknown)
10.38.41.33	4c:66:41:36:ac:98	(Unknown)
10.38.41.119	2c:f0:ee:0f:a2:14	(Unknown)
10.38.41.199	80:e6:50:0d:ea:20	(Unknown)
10.38.41.63	a4:08:ea:13:6c:5a	(Unknown) (DUP: 2)
10.38.40.59	94:e9:6a:8c:c5:09	(Unknown)
10.38.41.230	a0:88:69:70:1b:33	Intel Corporate
10.38.41.53	28:a0:2b:3a:70:b1	(Unknown)
10.38.41.241	68:5d:43:6d:88:6e	Intel Corporate
10.38.41.160	70:11:24:ca:74:70	Apple
10.38.41.185	58:7f:57:cd:06:fe	(Unknown)
10.38.42.18	28:5a:eb:4e:17:2b	(Unknown)
10.38.41.195	c0:cc:f8:1a:b1:f4	(Unknown)
10.38.41.121	c0:ee:fb:de:58:1a	(Unknown)
10.38.41.140	e4:25:e7:7d:0e:9a	Apple
10.38.40.99	90:60:f1:0b:42:0f	(Unknown)
10.38.41.255	d0:a6:37:7b:50:f7	(Unknown)
10.38.41.73	d8:5d:e2:c5:82:5d	(Unknown)
10.38.41.153	64:77:91:3d:8d:e5	Samsung Electronics Co.,Ltd
10.38.41.89	fc:c2:de:7e:e0:af	(Unknown)
10.38.41.42	70:3e:ac:47:19:49	(Unknown)
10.38.40.249	c8:85:50:f2:8b:bf	(Unknown)
10.38.41.33	4c:66:41:36:ac:98	(Unknown) (DUP: 2)
10.38.41.237	a8:66:7f:22:4d:f9	(Unknown)
10.38.40.217	68:d9:3c:0f:1e:39	(Unknown)
10.38.41.89	fc:c2:de:7e:e0:af	(Unknown) (DUP: 2)
10.38.41.250	30:85:a9:54:c4:4d	Asustek Computer Inc
10.38.39.40	28:a0:2b:d4:b0:38	(Unknown)
10.38.41.92	a4:08:ea:6e:25:d6	(Unknown)
10.38.41.92	a4:08:ea:6e:25:d6	(Unknown) (DUP: 2)
10.38.40.122	fc:db:b3:ec:ed:98	(Unknown)
10.38.41.176	28:ed:6a:e7:bc:79	(Unknown)
10.38.42.46	08:74:02:c3:e7:cf	(Unknown)
10.38.41.132	fc:c2:de:e8:d7:62	(Unknown)
10.38.41.80	a4:08:ea:27:33:08	(Unknown)
10.38.42.66	38:71:de:ba:ea:aa	(Unknown)
10.38.41.220	04:4b:ed:61:03:28	(Unknown)
10.38.40.151	4c:66:41:72:83:85	(Unknown)
10.38.42.43	00:21:5c:bd:24:4b	Intel Corporate
10.38.41.103	80:7a:bf:37:31:68	(Unknown)
10.38.41.147	48:5a:3f:58:df:67	WISOL (DUP: 2)
10.38.41.202	9c:f4:8e:d6:fe:81	(Unknown)
10.38.42.80	d0:25:98:57:44:f5	(Unknown)
10.38.42.77	48:3b:38:04:b9:c5	(Unknown)
10.38.41.219	18:68:6a:27:ae:88	(Unknown)
10.38.42.90	cc:08:8d:4c:1e:78	(Unknown)
10.38.40.151	4c:66:41:72:83:85	(Unknown) (DUP: 2)
10.38.41.159	2c:f0:a2:a6:85:47	(Unknown)
10.38.42.87	40:4d:7f:bb:f5:57	(Unknown)
10.38.41.153	64:77:91:3d:8d:e5	Samsung Electronics Co.,Ltd (DUP: 2)
10.38.42.130	68:5d:43:8e:46:03	Intel Corporate
10.38.39.83	b8:53:ac:94:0a:5e	(Unknown)
10.38.42.100	b4:ae:2b:e3:f9:6c	(Unknown)
10.38.41.10	24:da:9b:65:4a:51	(Unknown)
10.38.42.141	08:74:02:cd:cb:2f	(Unknown)
10.38.41.18	f0:99:bf:62:17:e6	(Unknown)
10.38.42.98	e4:90:7e:0d:d6:7a	(Unknown)
10.38.41.253	50:7a:55:af:c1:a0	(Unknown)
10.38.42.133	48:51:b7:1c:d1:6c	(Unknown)
10.38.40.148	0c:3e:9f:56:45:17	(Unknown)
10.38.42.160	c0:cc:f8:95:f7:2d	(Unknown)
10.38.39.213	18:65:90:65:f3:e8	(Unknown)
10.38.42.168	40:f0:2f:76:2d:25	(Unknown)
10.38.42.16	08:74:02:9d:05:dd	(Unknown)
10.38.42.23	e4:25:e7:63:30:52	Apple
10.38.42.173	80:e6:50:07:20:e4	(Unknown)
10.38.42.161	fc:db:b3:d9:d9:ab	(Unknown)
10.38.42.161	fc:db:b3:d9:d9:ab	(Unknown) (DUP: 2)
10.38.42.111	b4:4b:d2:74:55:1d	(Unknown)
10.38.41.152	f4:37:b7:d2:81:4c	(Unknown)
10.38.41.103	80:7a:bf:37:31:68	(Unknown) (DUP: 2)
10.38.42.172	bc:4c:c4:a9:b2:1b	(Unknown)
10.38.42.181	34:12:98:e5:7e:d2	(Unknown)
10.38.42.184	60:67:20:88:62:e4	Intel Corporate
10.38.42.82	dc:53:60:3f:7c:cb	(Unknown)
10.38.40.210	18:f6:43:77:9f:08	(Unknown)
10.38.42.70	fc:fc:48:b0:3f:fa	(Unknown)
10.38.40.122	fc:db:b3:ec:ed:98	(Unknown) (DUP: 2)
10.38.42.198	fc:c2:de:53:5a:22	(Unknown)
10.38.42.198	fc:c2:de:53:5a:22	(Unknown) (DUP: 2)
10.38.42.11	e4:90:7e:f3:2d:73	(Unknown)
10.38.42.197	90:68:c3:36:71:83	(Unknown)
10.38.42.215	00:21:6b:59:4e:60	Intel Corporate
10.38.42.26	1c:5c:f2:df:04:73	(Unknown)
10.38.42.187	20:3c:ae:a3:2a:8a	(Unknown)
10.38.41.224	04:c2:3e:50:a6:10	(Unknown)
10.38.42.221	d0:33:11:95:50:a0	(Unknown)
10.38.42.127	78:f8:82:a0:3f:b8	(Unknown)
10.38.42.207	1c:67:58:cc:c4:c0	(Unknown)
10.38.42.240	a0:a8:cd:25:d2:f3	Intel Corporate
10.38.41.215	64:bc:0c:65:93:45	(Unknown) (DUP: 2)
10.38.42.122	d0:13:fd:19:f5:81	(Unknown)
10.38.42.127	78:f8:82:a0:3f:b8	(Unknown) (DUP: 2)
10.38.42.249	ac:bc:32:c1:a7:09	(Unknown)
10.38.42.165	84:38:38:c4:0a:37	(Unknown)
10.38.41.201	bc:54:36:5a:fc:49	(Unknown)
10.38.42.135	f4:31:c3:1d:ee:39	(Unknown)
10.38.43.16	24:f0:94:a1:5b:a1	(Unknown)
10.38.42.188	f0:db:e2:e2:12:e8	(Unknown)
10.38.40.214	d0:25:98:01:93:4a	(Unknown)
10.38.43.0	cc:3a:61:21:31:2e	SAMSUNG ELECTRO MECHANICS CO., LTD.
10.38.41.232	cc:08:8d:07:e6:29	(Unknown)
10.38.42.165	84:38:38:c4:0a:37	(Unknown) (DUP: 2)
10.38.42.137	78:4b:87:b9:80:d2	(Unknown)
10.38.42.227	78:fd:94:a1:b8:43	(Unknown)
10.38.43.3	ac:0d:1b:f2:07:d6	(Unknown)
10.38.43.0	cc:3a:61:21:31:2e	SAMSUNG ELECTRO MECHANICS CO., LTD. (DUP: 2)
10.38.42.52	d8:bb:2c:7e:88:5a	(Unknown)
10.38.41.141	68:ae:20:1c:20:87	(Unknown)
10.38.42.175	70:3e:ac:c3:ae:29	(Unknown)
10.38.43.3	ac:0d:1b:f2:07:d6	(Unknown) (DUP: 2)
10.38.42.42	90:e7:c4:dc:e7:6f	(Unknown)
10.38.42.3	dc:41:5f:e2:ee:b5	(Unknown)
10.38.42.186	58:48:22:79:0b:33	(Unknown)
10.38.42.191	f0:24:75:7c:d5:01	(Unknown)
10.38.42.137	78:4b:87:b9:80:d2	(Unknown) (DUP: 2)
10.38.42.122	d0:13:fd:19:f5:81	(Unknown) (DUP: 2)
10.38.42.31	60:f1:89:71:16:f4	(Unknown)
10.38.42.246	bc:6c:21:31:4c:89	(Unknown)
10.38.43.65	60:6c:66:c5:76:be	Intel Corporate
10.38.43.51	08:21:ef:bb:2a:64	(Unknown)
10.38.43.59	f4:09:d8:d5:6f:36	(Unknown)
10.38.43.23	90:fd:61:b7:07:8b	(Unknown)
10.38.42.220	f0:db:e2:4c:36:c6	(Unknown)
10.38.42.186	58:48:22:79:0b:33	(Unknown) (DUP: 2)
10.38.42.42	90:e7:c4:dc:e7:6f	(Unknown) (DUP: 2)
10.38.43.27	a4:b8:05:84:a3:37	(Unknown)
10.38.43.54	f0:db:e2:8c:d4:3a	(Unknown)
10.38.42.231	f4:cb:52:72:da:b6	(Unknown)
10.38.42.109	c8:1e:e7:d7:c8:c3	(Unknown)
10.38.42.71	20:3c:ae:9d:e4:0b	(Unknown)
10.38.41.191	e4:98:d6:f0:a7:44	(Unknown)
10.38.43.59	f4:09:d8:d5:6f:36	(Unknown) (DUP: 2)
10.38.43.77	f8:27:93:44:ea:8b	(Unknown)
10.38.42.32	fc:c2:de:61:40:f9	(Unknown)
10.38.43.101	40:49:0f:43:e5:bb	(Unknown)
10.38.42.31	60:f1:89:71:16:f4	(Unknown) (DUP: 2)
10.38.42.1	70:18:8b:29:92:b7	Hon Hai Precision Ind. Co.,Ltd.
10.38.42.224	4c:66:41:48:08:73	(Unknown)
10.38.42.185	30:63:6b:cf:ac:90	(Unknown)
10.38.42.243	2c:b4:3a:a6:0a:9f	Apple
10.38.43.115	b8:86:87:d4:d1:23	(Unknown)
10.38.43.114	1c:3e:84:94:cf:2a	Hon Hai Precision Ind. Co.,Ltd.
10.38.43.126	68:5d:43:33:e7:3f	Intel Corporate
10.38.43.122	60:36:dd:56:e2:1c	Intel Corporate
10.38.43.135	68:17:29:37:a4:9c	Intel Corporate
10.38.43.144	00:c2:c6:32:3f:20	Intel Corporate
10.38.42.20	34:c0:59:c2:3a:16	Apple
10.38.43.181	18:cf:5e:61:3d:2c	(Unknown)
10.38.43.118	b0:65:bd:a5:32:dc	Apple Inc
10.38.43.148	38:71:de:70:a2:6c	(Unknown)
10.38.42.231	f4:cb:52:72:da:b6	(Unknown) (DUP: 2)
10.38.43.145	cc:08:8d:08:96:cb	(Unknown)
10.38.43.127	08:6d:41:bf:74:d4	(Unknown)
10.38.43.121	d8:bb:2c:e7:ab:f0	(Unknown)
10.38.43.111	ac:cf:85:ca:69:ca	(Unknown)
10.38.43.111	ac:cf:85:ca:69:ca	(Unknown) (DUP: 2)
10.38.43.189	78:0c:b8:5f:a9:65	(Unknown)
10.38.43.83	1c:91:48:2e:55:a9	(Unknown)
10.38.43.20	74:8d:08:09:50:57	(Unknown)
10.38.43.169	a4:5e:60:ea:1e:3b	(Unknown)
10.38.41.245	ac:0d:1b:fc:87:e0	(Unknown)
10.38.43.173	60:f1:89:81:9c:26	(Unknown)
10.38.41.245	ac:0d:1b:fc:87:e0	(Unknown) (DUP: 2)
10.38.43.4	f4:09:d8:ec:78:dd	(Unknown)
10.38.42.178	90:60:f1:58:8e:9c	(Unknown)
10.38.43.70	e4:a4:71:25:3a:73	(Unknown)
10.38.43.196	84:10:0d:9c:e6:b0	(Unknown)
10.38.43.67	44:80:eb:ef:d1:68	(Unknown)
10.38.43.164	3c:15:c2:ca:a2:46	(Unknown)
10.38.43.201	3c:15:c2:d0:72:04	(Unknown)
10.38.43.234	24:f0:94:e5:36:6a	(Unknown)
10.38.42.232	00:cd:fe:76:12:85	(Unknown)
10.38.43.25	00:ae:fa:6b:a9:f7	(Unknown)
10.38.43.25	00:ae:fa:6b:a9:f7	(Unknown) (DUP: 2)
10.38.43.39	20:3c:ae:5b:19:7d	(Unknown)
10.38.43.240	54:4e:90:8f:37:7b	(Unknown)
10.38.43.213	8c:29:37:1b:2a:a4	(Unknown)
10.38.43.48	a4:b8:05:7c:f4:30	(Unknown)
10.38.43.200	90:fd:61:b7:16:f2	(Unknown)
10.38.43.195	d0:03:4b:b9:56:c8	(Unknown)
10.38.43.24	60:f1:89:81:f9:c8	(Unknown)
10.38.42.132	00:61:71:c5:f4:c2	(Unknown)
10.38.44.5	dc:9b:9c:21:70:59	(Unknown)
10.38.43.130	c4:9a:02:8e:d3:1e	(Unknown)
10.38.44.21	d8:fc:93:ea:5d:03	(Unknown)
10.38.43.217	98:01:a7:a9:d9:cb	(Unknown)
10.38.44.22	1c:65:9d:fa:89:92	Liteon Technology Corporation
10.38.43.222	ac:fd:ec:46:0c:ec	(Unknown)
10.38.43.130	c4:9a:02:8e:d3:1e	(Unknown) (DUP: 2)
10.38.43.61	60:f1:89:6f:d9:e9	(Unknown)
10.38.43.61	60:f1:89:6f:d9:e9	(Unknown) (DUP: 2)
10.38.44.14	c0:cc:f8:29:9e:be	(Unknown)
10.38.43.183	50:2e:5c:37:e7:c9	(Unknown)
10.38.42.208	44:85:00:4d:44:eb	Intel Corporate
10.38.43.52	74:1b:b2:61:6c:af	(Unknown)
10.38.43.208	f4:09:d8:89:3d:56	(Unknown)
10.38.43.31	78:f8:82:c2:9d:8b	(Unknown)
10.38.43.117	88:79:7e:82:c9:f9	(Unknown)
10.38.42.210	c0:bd:d1:24:a7:fa	(Unknown)
10.38.43.208	f4:09:d8:89:3d:56	(Unknown) (DUP: 2)
10.38.42.210	c0:bd:d1:24:a7:fa	(Unknown) (DUP: 2)
10.38.43.125	88:1f:a1:0d:24:88	Apple
10.38.43.153	c0:ee:fb:d3:09:48	(Unknown)
10.38.44.44	0c:8b:fd:06:5b:1c	Intel Corporate
10.38.44.47	80:a5:89:15:75:19	(Unknown)
10.38.44.53	f8:2f:a8:b1:cc:d3	Hon Hai Precision Ind. Co.,Ltd.
10.38.44.50	ac:2b:6e:24:80:d8	(Unknown)
10.38.43.246	54:4e:90:39:76:b4	(Unknown)
10.38.44.36	68:db:ca:c7:f6:a5	(Unknown)
10.38.44.19	30:63:6b:bd:56:3c	(Unknown)
10.38.44.60	dc:53:60:f0:f1:8b	(Unknown)
10.38.43.198	d8:bb:2c:59:2c:9b	(Unknown)
10.38.42.223	fc:e9:98:08:a2:a2	(Unknown)
10.38.43.93	50:9e:a7:65:2a:8e	(Unknown)
10.38.43.35	4c:57:ca:6d:e1:85	(Unknown)
10.38.44.31	84:38:38:c8:94:b3	(Unknown)
10.38.42.233	28:c2:dd:c4:4d:2f	(Unknown)
10.38.42.140	7c:01:91:c3:50:b0	(Unknown)
10.38.43.82	fc:c2:de:0d:4c:09	(Unknown)
10.38.44.82	20:c9:d0:c0:9b:a7	Apple Inc
10.38.44.85	90:e7:c4:bf:3d:16	(Unknown)
10.38.43.166	94:e9:6a:b2:00:7e	(Unknown)
10.38.44.31	84:38:38:c8:94:b3	(Unknown) (DUP: 2)
10.38.43.178	48:d7:05:83:23:fa	(Unknown)
10.38.44.104	b8:53:ac:de:f7:2f	(Unknown)
10.38.43.87	70:3e:ac:48:a5:ef	(Unknown)
10.38.43.136	b4:0b:44:80:ce:66	(Unknown)
10.38.44.45	60:f1:89:e2:57:64	(Unknown)
10.38.43.136	b4:0b:44:80:ce:66	(Unknown) (DUP: 2)
10.38.43.103	70:81:eb:ba:bb:61	(Unknown)
10.38.44.125	e8:2a:ea:8b:5f:3d	Intel Corporate
10.38.42.190	90:60:f1:81:04:3d	(Unknown)
10.38.44.96	e0:5f:45:c4:e8:1e	(Unknown)
10.38.44.137	a8:5b:78:34:e9:37	(Unknown)
10.38.44.65	98:01:a7:d4:44:17	(Unknown)
10.38.44.37	f4:09:d8:e3:5e:25	(Unknown)
10.38.43.199	ec:1f:72:1e:5c:54	(Unknown)
10.38.43.199	ec:1f:72:1e:5c:54	(Unknown) (DUP: 2)
10.38.44.40	c0:ee:fb:5a:98:9e	(Unknown)
10.38.44.114	98:01:a7:9c:8c:ad	(Unknown)
10.38.43.10	c0:bd:d1:2e:f4:5c	(Unknown)
10.38.43.249	78:fd:94:03:73:c9	(Unknown)
10.38.43.242	c8:85:50:81:a2:3d	(Unknown)
10.38.44.130	cc:20:e8:a9:76:46	(Unknown)
10.38.43.158	6c:40:08:60:9d:9f	(Unknown)
10.38.44.99	78:f8:82:b7:25:e1	(Unknown)
10.38.44.159	24:fd:52:68:6e:dc	Liteon Technology Corporation
10.38.43.46	d8:cf:9c:e0:7d:0d	(Unknown)
10.38.44.164	90:48:9a:0c:22:03	(Unknown)
10.38.43.254	54:27:1e:a6:ae:84	(Unknown)
10.38.43.120	d0:25:98:57:bf:88	(Unknown)
10.38.44.64	e0:98:61:c1:44:c3	(Unknown)
10.38.44.179	e0:ca:94:bf:d5:cf	Askey Computer
10.38.44.148	90:e7:c4:d4:55:5b	(Unknown)
10.38.44.188	90:b6:86:ab:56:2a	(Unknown)
10.38.44.188	90:b6:86:ab:56:2a	(Unknown) (DUP: 2)
10.38.43.128	e0:ac:cb:8b:ec:a2	(Unknown)
10.38.44.45	60:f1:89:e2:57:64	(Unknown) (DUP: 2)
10.38.44.182	44:80:eb:80:73:b7	(Unknown)
10.38.43.192	fc:c2:de:15:07:c3	(Unknown)
10.38.43.29	c8:1e:e7:22:0e:2e	(Unknown)
10.38.44.37	f4:09:d8:e3:5e:25	(Unknown) (DUP: 2)
10.38.44.95	54:9f:13:44:63:e0	(Unknown)
10.38.43.89	28:ed:6a:f0:6e:f0	(Unknown)
10.38.44.184	e4:f8:9c:1f:23:59	(Unknown)
10.38.44.142	e8:80:2e:e4:c0:53	(Unknown)
10.38.44.185	0c:3e:9f:af:a4:01	(Unknown)
10.38.44.155	a0:39:f7:00:a0:b7	(Unknown)
10.38.44.3	00:ae:fa:d4:5c:b2	(Unknown)
10.38.43.192	fc:c2:de:15:07:c3	(Unknown) (DUP: 2)
10.38.44.168	64:bc:0c:81:22:44	(Unknown)
10.38.44.197	18:f6:43:75:71:18	(Unknown)
10.38.44.187	5c:ad:cf:19:8c:34	(Unknown)
10.38.44.111	a4:d1:8c:de:f4:2c	(Unknown)
10.38.44.168	64:bc:0c:81:22:44	(Unknown) (DUP: 2)
10.38.43.232	c4:9a:02:13:75:65	(Unknown)
10.38.44.191	d8:bb:2c:87:03:12	(Unknown)
10.38.43.78	78:f8:82:a4:ca:e9	(Unknown)
10.38.44.155	a0:39:f7:00:a0:b7	(Unknown) (DUP: 2)
10.38.44.7	1c:91:48:53:e0:6b	(Unknown)
10.38.44.201	d6:29:91:c0:6e:79	(Unknown)
10.38.43.105	a4:f1:e8:2c:7f:85	(Unknown)
10.38.43.152	5c:e0:c5:77:96:d3	(Unknown)
10.38.44.116	58:40:4e:37:e6:48	(Unknown)
10.38.44.139	a4:b8:05:73:6d:b4	(Unknown)
10.38.43.165	b4:8b:19:43:c6:70	(Unknown)
10.38.44.182	44:80:eb:80:73:b7	(Unknown) (DUP: 2)
10.38.44.38	6c:72:e7:aa:3d:f1	(Unknown)
10.38.44.216	9c:4e:36:63:18:60	Intel Corporate
10.38.44.229	60:f1:89:e2:4c:69	(Unknown)
10.38.44.229	60:f1:89:e2:4c:69	(Unknown) (DUP: 2)
10.38.45.1	70:ec:e4:34:1d:ee	(Unknown)
10.38.44.196	90:60:f1:61:fb:d6	(Unknown)
10.38.44.226	00:56:cd:82:fc:08	(Unknown)
10.38.45.34	f4:06:69:8b:ab:46	(Unknown)
10.38.44.250	d0:e1:40:94:42:1e	(Unknown)
10.38.44.167	f0:25:b7:6b:65:ba	(Unknown)
10.38.43.233	fc:c2:de:9f:7c:3e	(Unknown)
10.38.43.233	fc:c2:de:9f:7c:3e	(Unknown) (DUP: 2)
10.38.44.221	a4:b8:05:7c:d7:fb	(Unknown)
10.38.43.151	28:ed:6a:f0:81:6d	(Unknown)
10.38.44.242	c4:9a:02:3f:1f:97	(Unknown)
10.38.44.28	84:38:38:e3:24:b1	(Unknown)
10.38.44.76	84:38:35:dc:b0:fb	Apple
10.38.44.211	c0:ee:fb:20:39:5d	(Unknown)
10.38.44.208	98:01:a7:98:b0:cf	(Unknown)
10.38.44.199	2c:6e:85:db:2a:27	(Unknown)
10.38.44.232	f8:cf:c5:dd:d6:ce	(Unknown)
10.38.45.29	a4:08:ea:85:67:b1	(Unknown)
10.38.44.224	04:c2:3e:ef:17:d1	(Unknown)
10.38.45.59	98:f1:70:4b:9e:5d	(Unknown)
10.38.44.220	5c:70:a3:96:b1:6f	(Unknown)
10.38.44.157	2c:0e:3d:08:ac:3c	(Unknown)
10.38.45.66	58:91:cf:c8:ac:f3	Intel Corporate
10.38.45.64	88:1f:a1:6b:74:84	Apple
10.38.45.11	90:c7:d8:94:9f:7f	(Unknown)
10.38.44.175	9c:fc:01:5d:5d:4e	(Unknown)
10.38.45.74	a4:34:d9:32:96:c8	(Unknown)
10.38.45.65	9c:f3:87:b7:4a:bc	(Unknown)
10.38.45.29	a4:08:ea:85:67:b1	(Unknown) (DUP: 2)
10.38.44.81	4c:66:41:10:c4:4e	(Unknown)
10.38.45.78	a4:70:d6:70:b4:4d	(Unknown)
10.38.43.228	9c:f4:8e:06:96:3e	(Unknown)
10.38.43.237	c0:ce:cd:26:dc:02	(Unknown)
10.38.44.108	50:2e:5c:e8:91:2d	(Unknown)
10.38.45.59	98:f1:70:4b:9e:5d	(Unknown) (DUP: 2)
10.38.45.87	90:b6:86:d7:12:76	(Unknown)
10.38.44.248	1c:e6:2b:06:2e:52	Apple
10.38.45.23	e0:94:67:8c:9f:ab	Intel Corporate
10.38.43.129	ec:1f:72:40:97:7d	(Unknown)
10.38.45.37	90:18:7c:a3:23:77	Samsung Electro Mechanics co., LTD.
10.38.42.82	dc:53:60:3f:7c:cb	(Unknown) (DUP: 2)
10.38.45.61	c0:ee:fb:5b:73:be	(Unknown)
10.38.44.4	64:9a:be:93:7f:23	(Unknown)
10.38.44.253	b8:53:ac:41:db:56	(Unknown)
10.38.45.134	b4:ce:f6:f2:8c:bd	(Unknown)
10.38.45.37	90:18:7c:a3:23:77	Samsung Electro Mechanics co., LTD. (DUP: 2)
10.38.45.103	90:60:f1:15:07:3e	(Unknown)
10.38.45.138	e8:50:8b:13:f7:2c	(Unknown)
10.38.45.138	e8:50:8b:13:f7:2c	(Unknown) (DUP: 2)
10.38.44.107	a0:99:9b:1d:99:07	(Unknown)
10.38.44.157	2c:0e:3d:08:ac:3c	(Unknown) (DUP: 2)
10.38.44.51	0c:30:21:5d:cf:ef	Apple, Inc
10.38.43.209	38:ca:da:02:75:68	(Unknown)
10.38.44.219	cc:44:63:e0:30:5a	(Unknown)
10.38.45.75	9c:d9:17:97:07:97	(Unknown)
10.38.45.104	1c:91:48:7a:0c:3c	(Unknown)
10.38.44.81	4c:66:41:10:c4:4e	(Unknown) (DUP: 2)
10.38.44.237	a0:18:28:41:a7:17	(Unknown)
10.38.45.109	b8:44:d9:16:60:c2	(Unknown)
10.38.45.147	74:df:bf:9c:8a:ed	(Unknown)
10.38.45.25	cc:08:8d:49:36:92	(Unknown)
10.38.45.43	cc:c7:60:22:8c:3c	(Unknown)
10.38.45.12	20:c9:d0:b1:ce:61	Apple Inc
10.38.45.180	4c:bb:58:e0:c5:d5	(Unknown)
10.38.44.101	90:60:f1:8b:5e:b0	(Unknown)
10.38.45.166	cc:c7:60:f3:a9:02	(Unknown)
10.38.45.97	d4:a1:48:70:f0:9a	(Unknown)
10.38.43.239	f0:99:bf:2c:4a:07	(Unknown)
10.38.44.163	5c:ad:cf:05:c4:d8	(Unknown)
10.38.45.6	50:7a:55:c1:1f:2e	(Unknown)
10.38.45.173	ac:5f:3e:91:e1:3a	(Unknown)
10.38.45.173	ac:5f:3e:91:e1:3a	(Unknown) (DUP: 2)
10.38.45.197	ec:88:92:75:43:3d	(Unknown)
10.38.44.18	2c:0e:3d:08:3a:02	(Unknown)
10.38.45.123	4c:66:41:82:73:59	(Unknown)
10.38.44.205	a0:3b:e3:05:12:25	(Unknown)
10.38.45.87	90:b6:86:d7:12:76	(Unknown) (DUP: 2)
10.38.44.91	80:ed:2c:b3:7a:bd	(Unknown)
10.38.42.250	20:ab:37:51:df:8d	(Unknown)
10.38.45.127	ac:37:43:4b:09:bf	(Unknown)
10.38.45.161	cc:07:ab:bb:0c:98	(Unknown)
10.38.45.204	00:ae:fa:dd:03:75	(Unknown)
10.38.45.204	00:ae:fa:dd:03:75	(Unknown) (DUP: 2)
10.38.45.187	a4:5e:60:40:d7:70	(Unknown)
10.38.45.225	c4:8e:8f:4f:a2:ed	(Unknown)
10.38.45.222	e8:2a:ea:1b:92:ac	Intel Corporate
10.38.44.223	90:60:f1:81:f8:c1	(Unknown)
10.38.44.154	c0:1a:da:6c:5d:e9	(Unknown)
10.38.45.125	f0:db:e2:c5:2a:1b	(Unknown)
10.38.45.137	e8:50:8b:4c:54:e2	(Unknown)
10.38.45.70	48:43:7c:c1:2c:45	(Unknown)
10.38.45.137	e8:50:8b:4c:54:e2	(Unknown) (DUP: 2)
10.38.45.156	cc:20:e8:18:67:1c	(Unknown)
10.38.45.121	d0:25:98:9b:63:8e	(Unknown)
10.38.44.244	8c:a9:82:6d:e0:3c	Intel Corporate
10.38.44.140	64:bc:0c:50:1a:8a	(Unknown)
10.38.45.123	4c:66:41:82:73:59	(Unknown) (DUP: 2)
10.38.46.10	48:d2:24:7e:90:4f	Liteon Technology Corporation
10.38.46.14	4c:bb:58:80:c3:d5	(Unknown)
