10.38.32.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.36.11	24:fd:52:c5:dc:45	Liteon Technology Corporation
10.38.36.21	e4:f8:9c:bd:4b:65	(Unknown)
10.38.36.16	0c:8b:fd:7e:95:be	Intel Corporate
10.38.36.39	30:52:cb:70:13:d9	(Unknown)
10.38.34.138	98:f0:ab:4a:80:b8	(Unknown)
10.38.35.94	78:4b:87:46:49:75	(Unknown)
10.38.36.93	b4:ae:2b:2b:96:51	(Unknown)
10.38.35.155	28:a0:2b:ce:ee:01	(Unknown)
10.38.35.8	00:61:71:bf:a4:d6	(Unknown)
10.38.35.158	90:60:f1:92:19:53	(Unknown)
10.38.36.89	e4:9a:79:ce:2c:74	(Unknown)
10.38.35.237	c0:1a:da:c2:94:fb	(Unknown)
10.38.35.240	cc:08:8d:a1:0a:a0	(Unknown)
10.38.36.17	60:f1:89:fd:ad:e1	(Unknown)
10.38.36.238	00:ae:fa:5b:b9:d3	(Unknown)
10.38.36.238	00:ae:fa:5b:b9:d3	(Unknown) (DUP: 2)
10.38.36.91	30:19:66:7f:17:4e	(Unknown)
10.38.36.134	fc:c2:de:dc:8b:72	(Unknown)
10.38.36.181	c0:ee:fb:52:b4:38	(Unknown)
10.38.36.174	bc:85:56:a5:82:d9	Hon Hai Precision Ind. Co.,Ltd.
10.38.36.134	fc:c2:de:dc:8b:72	(Unknown) (DUP: 2)
10.38.36.72	ec:1f:72:b0:3a:f0	(Unknown)
10.38.37.28	74:1b:b2:03:d1:64	(Unknown)
10.38.34.222	18:cf:5e:10:be:b6	(Unknown)
10.38.36.167	ac:5f:3e:b8:05:91	(Unknown)
10.38.37.44	6c:72:e7:12:f0:60	(Unknown)
10.38.35.105	54:72:4f:12:ac:44	(Unknown)
10.38.37.29	b8:44:d9:aa:b2:af	(Unknown)
10.38.36.253	c4:21:c8:3b:34:61	KYOCERA Corporation
10.38.36.179	cc:3a:61:19:70:fe	SAMSUNG ELECTRO MECHANICS CO., LTD.
10.38.36.50	fc:c2:de:5f:85:5d	(Unknown)
10.38.37.68	60:f1:89:e6:0e:c5	(Unknown)
10.38.37.68	60:f1:89:e6:0e:c5	(Unknown) (DUP: 2)
10.38.36.50	fc:c2:de:5f:85:5d	(Unknown) (DUP: 2)
10.38.36.17	60:f1:89:fd:ad:e1	(Unknown) (DUP: 2)
10.38.36.167	ac:5f:3e:b8:05:91	(Unknown) (DUP: 2)
10.38.37.79	48:d7:05:b6:60:f5	(Unknown)
10.38.35.20	d0:25:98:c5:c4:85	(Unknown)
10.38.37.13	90:60:f1:90:a4:e6	(Unknown)
10.38.34.228	d0:25:98:44:01:f3	(Unknown)
10.38.37.163	b8:e8:56:45:56:48	Apple
10.38.36.196	60:f1:89:f8:ff:08	(Unknown)
10.38.37.152	90:00:db:16:07:0f	(Unknown)
10.38.37.20	3c:ab:8e:99:83:06	(Unknown)
10.38.37.248	90:60:f1:86:c1:81	(Unknown)
10.38.36.183	a4:08:ea:02:ab:84	(Unknown)
10.38.36.196	60:f1:89:f8:ff:08	(Unknown) (DUP: 2)
10.38.37.198	fc:e9:98:14:46:a2	(Unknown)
10.38.37.87	4c:7c:5f:63:b5:b5	(Unknown)
10.38.37.245	6c:72:e7:59:56:d9	(Unknown)
10.38.37.225	00:23:6c:85:44:2b	Apple, Inc
10.38.38.21	74:29:af:5b:39:5b	(Unknown)
10.38.36.234	ac:0d:1b:d5:94:38	(Unknown)
10.38.37.254	2c:20:0b:3c:c4:60	(Unknown)
10.38.38.2	34:36:3b:d1:b9:5e	(Unknown)
10.38.38.38	84:3a:4b:06:74:90	Intel Corporate
10.38.37.193	ac:5f:3e:d6:43:43	(Unknown)
10.38.37.231	d4:0b:1a:b3:95:8c	(Unknown)
10.38.36.183	a4:08:ea:02:ab:84	(Unknown) (DUP: 2)
10.38.38.11	60:fe:c5:d9:27:1a	Apple
10.38.37.227	14:a3:64:75:26:ca	(Unknown)
10.38.36.234	ac:0d:1b:d5:94:38	(Unknown) (DUP: 2)
10.38.37.122	64:9a:be:a2:3d:bc	(Unknown)
10.38.38.58	0c:51:01:6e:89:0c	(Unknown)
10.38.37.71	60:f1:89:97:ef:b1	(Unknown)
10.38.38.82	e8:80:2e:dd:f2:34	(Unknown)
10.38.38.87	6c:40:08:92:99:b6	(Unknown)
10.38.38.59	90:48:9a:44:a0:d9	(Unknown)
10.38.38.76	c8:ff:28:9f:76:79	(Unknown)
10.38.37.76	b8:53:ac:81:a1:02	(Unknown)
10.38.38.73	60:f1:89:e7:27:f0	(Unknown)
10.38.38.111	4c:bb:58:9c:fb:b3	(Unknown)
10.38.38.112	60:6c:66:25:e2:48	Intel Corporate
10.38.38.1	4c:57:ca:7f:86:f7	(Unknown)
10.38.34.244	f0:f6:1c:36:1e:ff	(Unknown)
10.38.38.114	e4:f8:9c:ec:ed:fc	(Unknown)
10.38.38.132	68:a3:c4:ab:af:b8	Liteon Technology Corporation
10.38.37.193	ac:5f:3e:d6:43:43	(Unknown) (DUP: 2)
10.38.38.123	9c:fc:01:c2:56:3e	(Unknown)
10.38.38.92	18:e3:bc:a4:81:a9	(Unknown)
10.38.38.93	d8:cf:9c:d9:62:4d	(Unknown)
10.38.38.101	fc:db:b3:25:81:b4	(Unknown)
10.38.38.122	34:12:98:ef:0d:8b	(Unknown)
10.38.37.251	ac:bc:32:c1:d5:d9	(Unknown)
10.38.38.29	4c:66:41:0d:d8:21	(Unknown)
10.38.37.98	e4:b3:18:7a:91:49	(Unknown)
10.38.38.106	94:e9:6a:c6:c7:51	(Unknown)
10.38.38.15	9c:fc:01:c2:4f:73	(Unknown)
10.38.38.156	80:86:f2:c7:03:d5	Intel Corporate
10.38.38.117	24:df:6a:15:26:23	(Unknown)
10.38.38.5	fc:db:b3:bb:a5:ad	(Unknown)
10.38.38.121	c8:1e:e7:2c:af:89	(Unknown)
10.38.38.69	7c:d1:c3:94:9d:7e	Apple Inc
10.38.38.175	6c:40:08:a7:1c:86	(Unknown)
10.38.38.178	c4:54:44:c7:cb:a9	QUANTA COMPUTER INC.
10.38.38.75	50:7a:55:38:88:86	(Unknown)
10.38.38.97	3c:15:c2:e2:fc:c8	(Unknown)
10.38.38.151	6c:8d:c1:78:10:2c	(Unknown)
10.38.38.67	ac:fd:ec:30:5c:22	(Unknown)
10.38.38.201	e0:98:61:cd:5c:47	(Unknown)
10.38.38.85	cc:20:e8:c5:f0:58	(Unknown)
10.38.38.171	9c:f4:8e:a1:95:7b	(Unknown)
10.38.38.168	74:23:44:5f:18:41	(Unknown)
10.38.38.195	48:43:7c:48:b3:b7	(Unknown)
10.38.38.172	98:f1:70:3d:a9:be	(Unknown)
10.38.38.204	4c:8d:79:d6:c7:5e	Apple
10.38.38.147	60:03:08:ec:74:f0	(Unknown)
10.38.38.212	90:b6:86:70:f0:7f	(Unknown)
10.38.38.239	90:48:9a:07:f5:b1	(Unknown)
10.38.38.229	40:25:c2:a9:4b:0c	Intel Corporate
10.38.38.235	b8:ee:65:c8:b5:27	(Unknown)
10.38.38.168	74:23:44:5f:18:41	(Unknown) (DUP: 2)
10.38.38.157	9c:fc:01:4f:0b:ec	(Unknown)
10.38.37.120	d0:25:98:61:4a:c7	(Unknown)
10.38.36.120	24:e3:14:bd:1b:2e	(Unknown)
10.38.38.117	24:df:6a:15:26:23	(Unknown) (DUP: 2)
10.38.37.71	60:f1:89:97:ef:b1	(Unknown) (DUP: 2)
10.38.38.245	34:69:87:9d:53:c7	(Unknown)
10.38.38.221	2c:be:08:96:e4:35	(Unknown)
10.38.37.240	1c:91:48:1e:33:87	(Unknown)
10.38.38.253	e0:ac:cb:8f:bd:6c	(Unknown)
10.38.38.29	4c:66:41:0d:d8:21	(Unknown) (DUP: 2)
10.38.39.6	0c:3e:9f:01:27:b6	(Unknown)
10.38.38.66	48:5a:3f:69:a4:27	WISOL
10.38.38.174	44:80:eb:e3:89:d8	(Unknown)
10.38.39.24	e0:ac:cb:70:da:48	(Unknown)
10.38.39.14	8c:3a:e3:96:f5:3d	(Unknown)
10.38.39.14	8c:3a:e3:96:f5:3d	(Unknown) (DUP: 2)
10.38.37.255	6c:40:08:79:7b:d5	(Unknown)
10.38.38.28	40:88:05:41:fe:9f	(Unknown)
10.38.37.108	68:d9:3c:3a:6b:87	(Unknown)
10.38.37.246	d8:bb:2c:0e:91:4d	(Unknown)
10.38.38.213	68:db:ca:7c:dc:84	(Unknown)
10.38.38.71	0c:3e:9f:5c:47:cc	(Unknown)
10.38.38.168	74:23:44:5f:18:41	(Unknown) (DUP: 3)
10.38.38.216	64:76:ba:ab:48:96	(Unknown)
10.38.38.254	64:bc:0c:51:3d:e5	(Unknown)
10.38.38.201	e0:98:61:cd:5c:47	(Unknown) (DUP: 2)
10.38.37.11	80:00:6e:a2:41:e4	(Unknown)
10.38.39.44	cc:20:e8:9c:d2:49	(Unknown)
10.38.38.49	6c:8d:c1:de:6f:04	(Unknown)
10.38.39.46	34:36:3b:c7:a1:b8	(Unknown)
10.38.38.224	e8:4e:84:ad:93:5d	(Unknown)
10.38.38.208	e0:b5:2d:df:cb:45	(Unknown)
10.38.38.5	fc:db:b3:bb:a5:ad	(Unknown) (DUP: 2)
10.38.39.47	98:01:a7:bb:21:95	(Unknown)
10.38.39.71	08:bd:43:80:5f:06	NETGEAR INC.,
10.38.38.115	f4:31:c3:1e:3d:8e	(Unknown)
10.38.39.30	90:3c:92:63:16:a2	(Unknown)
10.38.39.85	6c:72:e7:5b:3c:9f	(Unknown)
10.38.39.91	60:f1:89:f8:5d:3a	(Unknown)
10.38.39.91	60:f1:89:f8:5d:3a	(Unknown) (DUP: 2)
10.38.38.45	24:f0:94:28:0a:71	(Unknown)
10.38.38.4	18:f6:43:00:8f:9c	(Unknown)
10.38.39.84	48:43:7c:bb:bc:89	(Unknown)
10.38.39.42	44:80:eb:ac:58:7d	(Unknown)
10.38.38.66	48:5a:3f:69:a4:27	WISOL (DUP: 2)
10.38.37.241	c0:1a:da:74:22:65	(Unknown)
10.38.39.112	a4:17:31:15:8f:0b	Hon Hai Precision Ind. Co.,Ltd.
10.38.38.214	d0:25:98:50:a6:0a	(Unknown)
10.38.39.119	fc:db:b3:ea:e9:66	(Unknown)
10.38.39.119	fc:db:b3:ea:e9:66	(Unknown) (DUP: 2)
10.38.38.176	e4:9a:79:74:65:11	(Unknown)
10.38.39.19	cc:25:ef:a5:ae:de	(Unknown)
10.38.39.108	20:78:f0:25:a0:f4	(Unknown)
10.38.39.59	10:41:7f:12:ae:75	(Unknown)
10.38.39.97	a4:b8:05:7f:2a:d7	(Unknown)
10.38.39.100	28:18:78:d5:41:fd	Microsoft Corporation
10.38.37.7	18:f6:43:07:52:87	(Unknown)
10.38.39.12	fc:c2:de:56:d6:27	(Unknown)
10.38.39.133	20:3c:ae:b6:68:8f	(Unknown)
10.38.38.165	68:ae:20:23:1e:00	(Unknown)
10.38.38.136	28:cf:da:d3:5e:90	Apple, Inc.
10.38.39.49	4c:66:41:bf:0c:c9	(Unknown)
10.38.39.12	fc:c2:de:56:d6:27	(Unknown) (DUP: 2)
10.38.39.132	c0:ce:cd:3c:7b:df	(Unknown)
10.38.39.145	64:5a:04:33:45:ab	Chicony Electronics Co., Ltd.
10.38.39.121	64:bc:0c:47:06:9e	(Unknown)
10.38.39.162	38:b1:db:17:97:9d	(Unknown)
10.38.39.159	54:4e:90:cc:99:80	(Unknown)
10.38.39.151	cc:3d:82:a9:ea:d9	(Unknown)
10.38.39.182	34:23:87:82:36:b7	(Unknown)
10.38.38.218	88:1f:a1:68:77:34	Apple
10.38.39.146	c0:ee:fb:53:04:51	(Unknown)
10.38.39.187	00:56:cd:ae:31:2d	(Unknown)
10.38.38.146	ac:37:43:49:09:19	(Unknown)
10.38.39.107	00:9a:cd:ff:f8:a5	(Unknown)
10.38.38.224	e8:4e:84:ad:93:5d	(Unknown) (DUP: 2)
10.38.39.101	a4:b8:05:ba:e5:41	(Unknown)
10.38.39.144	a4:5e:60:df:bd:d9	(Unknown)
10.38.39.163	78:fd:94:13:28:af	(Unknown)
10.38.39.179	48:d7:05:b3:8b:69	(Unknown)
10.38.39.208	a0:99:9b:16:79:89	(Unknown)
10.38.39.203	1c:5c:f2:3c:bf:88	(Unknown)
10.38.39.229	ac:b5:7d:12:7f:c8	(Unknown)
10.38.39.17	40:0e:85:21:5c:a7	Samsung Electro Mechanics co.,LTD.
10.38.39.173	e0:98:61:c1:39:ca	(Unknown)
10.38.38.223	20:3c:ae:b4:6d:3e	(Unknown)
10.38.39.137	88:c9:d0:fe:dc:5a	(Unknown)
10.38.38.190	ac:5f:3e:50:b0:8a	(Unknown)
10.38.38.173	34:4d:f7:0c:4b:58	(Unknown)
10.38.39.17	40:0e:85:21:5c:a7	Samsung Electro Mechanics co.,LTD. (DUP: 2)
10.38.39.118	78:24:af:aa:f2:76	(Unknown)
10.38.39.52	cc:08:8d:a4:cc:0e	(Unknown)
10.38.38.197	cc:20:e8:74:62:0f	(Unknown)
10.38.38.232	4c:66:41:1d:9d:b0	(Unknown)
10.38.39.118	78:24:af:aa:f2:76	(Unknown) (DUP: 2)
10.38.38.130	f4:09:d8:ad:97:9a	(Unknown)
10.38.39.49	4c:66:41:bf:0c:c9	(Unknown) (DUP: 2)
10.38.38.222	24:f0:94:11:47:93	(Unknown)
10.38.39.4	ac:37:43:4b:ef:e9	(Unknown)
10.38.38.211	4c:66:41:1d:8b:aa	(Unknown)
10.38.39.240	20:2d:07:01:9e:3e	(Unknown)
10.38.39.157	28:a0:2b:bf:7a:db	(Unknown)
10.38.39.181	cc:20:e8:16:5c:e5	(Unknown)
10.38.39.143	c0:ee:fb:58:d8:90	(Unknown)
10.38.39.107	00:9a:cd:ff:f8:a5	(Unknown) (DUP: 2)
10.38.38.160	f0:24:75:af:f9:da	(Unknown)
10.38.40.31	64:89:9a:83:b1:6a	(Unknown)
10.38.38.255	ac:5f:3e:5b:72:fd	(Unknown)
